"","iliad.txt","odyssey.txt"
"amphimachus",4,0
"amphimachuss",1,0
"amphinom",1,0
"amphion",1,2
"amphitho",1,0
"amphitryon",3,2
"amphius",3,0
"amphorawin",3,0
"amphoterus",1,0
"ampl",64,0
"ampler",3,0
"amus",4,2
"amycla",1,0
"amydon",1,0
"amyntor",1,0
"anachron",1,1
"anacreon",1,0
"analysi",2,0
"analysisour",1,0
"analyt",2,0
"analyz",1,0
"anatom",1,0
"anatomist",1,0
"ancaeus",2,0
"ancestor",6,1
"ancestorsor",1,0
"anchialus",1,3
"anchis",11,0
"anchor",2,2
"ancient",71,2
"ancl",1,0
"andraemon",2,1
"andromach",15,1
"andtwentieth",1,0
"anecdot",1,0
"anemoria",1,0
"anew",6,0
"angel",2,1
"anger",22,11
"angl",1,1
"angler",1,0
"angri",22,39
"anguish",27,0
"angusto",1,0
"anim",22,0
"animi",1,0
"animos",1,0
"ankl",5,0
"ann",2,0
"annot",1,0
"announc",2,0
"annoy",1,1
"annual",1,0
"anoint",2,19
"anoiston",1,0
"anomali",3,0
"anoth",41,122
"anothercoleridg",1,0
"answer",24,178
"answerd",4,0
"answersdost",1,0
"answerwhat",1,0
"ant",4,0
"antaea",1,0
"antagonist",2,1
"anted",2,0
"antenor",20,0
"anthedon",1,0
"antheia",2,0
"anthon",2,0
"anthropoisin",1,0
"antigon",2,0
"antihistor",1,0
"antilochus",20,6
"antimachus",3,0
"antipathi",1,0
"antiph",1,6
"antiphon",1,0
"antiphus",3,4
"antiqu",20,1
"antiqua",3,0
"antiquarian",1,0
"anton",1,0
"antron",1,0
"anvil",4,2
"anxieti",1,0
"anxious",10,7
"anyon",5,9
"anyth",3,43
"anywher",2,7
"apaesus",2,0
"apart",18,12
"apaturian",1,0
"aphareus",3,0
"aphrastoteron",1,0
"apisaon",2,0
"apo",1,0
"apocryph",1,0
"apollo",72,29
"apollodorus",1,0
"apollonius",1,0
"apolog",1,2
"apologu",1,0
"apotheosi",5,0
"appal",1,1
"appar",4,3
"apparit",1,0
"appeal",6,1
"appear",122,43
"appeard",21,0
"appeas",7,2
"appena",1,0
"append",2,0
"appendix",1,4
"appetit",1,0
"appl",1,5
"applaud",1,7
"applaus",11,0
"appli",18,2
"applic",5,3
"appoint",9,1
"appreci",3,0
"apprehens",2,0
"approach",51,8
"approachd",10,0
"appropri",3,3
"approv",28,7
"apseud",1,0
"apt",2,1
"apul",2,0
"apuleius",2,0
"apulia",1,0
"apusato",1,0
"arabl",2,0
"araethyrea",1,0
"arbit",2,0
"arbitr",1,0
"arbitrari",2,0
"arcadian",2,0
"arcesila",1,0
"arcesilaus",1,0
"arch",7,4
"archaic",1,0
"archbishop",1,0
"archd",1,0
"archdeacon",1,0
"archemorus",1,0
"archeptolemus",2,0
"archer",9,7
"archeri",3,0
"archetypus",1,0
"archilochus",5,0
"architect",4,0
"architecton",1,0
"archiv",13,13
"arctic",1,0
"ardent",12,0
"ardour",30,0
"arduous",2,0
"area",1,0
"areilycus",1,0
"areith",3,0
"aren",2,0
"aretaon",1,0
"aretus",2,2
"argissa",1,0
