"","iliad.txt","odyssey.txt"
"conceald",13,0
"conceiv",5,3
"concept",4,2
"concern",12,5
"conclud",9,2
"conclus",6,3
"concubin",1,1
"concur",2,0
"condemn",4,0
"condemnd",7,0
"condens",5,0
"condescend",1,0
"condit",12,1
"conduc",2,0
"conduct",24,10
"cone",3,0
"confeder",3,1
"confer",6,3
"conferrd",1,0
"confess",16,0
"confessd",23,0
"confid",7,4
"confin",12,1
"confirm",7,4
"confirmd",7,0
"conflagr",2,0
"conflict",13,0
"conformd",1,0
"confound",18,2
"confront",2,0
"confucius",1,0
"confus",35,0
"congest",1,0
"conglob",1,0
"congreg",1,0
"congrev",2,0
"congruiti",1,0
"conjectur",3,1
"conjoin",1,0
"conjoind",1,0
"conjug",1,0
"conjunct",1,0
"conjur",1,0
"conjux",1,0
"connect",13,2
"connexion",2,0
"conquer",57,0
"conquerd",11,0
"conquerit",1,0
"conqueror",7,0
"conquest",66,0
"conscious",14,0
"consecr",8,0
"consecut",2,0
"consent",16,3
"consequ",5,3
"consequenti",1,1
"conservat",1,1
"consid",24,17
"consider",16,8
"consign",3,0
"consignd",9,0
"consist",13,3
"consistentseri",1,0
"consistori",1,0
"consol",3,0
"conson",1,0
"consort",17,0
"conspicu",6,0
"conspir",8,0
"constanc",1,1
"constant",22,3
"constern",3,0
"constitu",2,0
"constitut",2,0
"constrain",1,0
"constraind",1,0
"constraint",1,0
"constru",2,1
"construct",4,1
"consult",18,8
"consum",7,2
"consumer",1,0
"consumm",1,1
"contact",4,4
"contagion",1,0
"contain",19,8
"containd",3,0
"contempl",5,0
"contempt",2,0
"contemptu",1,2
"contend",41,6
"content",37,7
"contentbi",1,0
"contenti",2,0
"contest",15,10
"contigu",1,1
"continu",38,22
"contract",13,1
"contradict",4,0
"contradictori",1,0
"contradistinct",1,0
"contrari",4,2
"contrast",2,1
"contribut",5,3
"contriv",4,3
"control",19,0
"controlld",3,0
"controversi",1,0
"controvert",1,0
"contumaci",1,0
"conven",6,3
"conveni",3,2
"convent",2,0
"convers",8,24
"convert",2,1
"converzation",1,0
"convex",2,0
"convey",26,3
"conveyd",11,0
"conveyst",1,0
"convict",3,2
"convinc",4,5
"convoc",1,0
"convok",1,0
"convuls",2,2
"cool",7,1
"coold",2,0
"cooler",2,0
"coon",2,0
"coop",1,0
"cooper",1,0
"copa",1,0
"copi",34,29
"copious",12,0
"copper",4,4
"copreus",1,0
"copyist",1,0
"copyright",13,13
"cord",2,2
"cordag",1,0
"cordial",3,1
"corinth",3,0
"corn",9,10
"coron",1,0
"corp",2,0
"corpor",1,1
"corps",14,6
"correct",10,6
"correspond",3,2
"corrupt",6,4
"cors",39,0
"corslet",16,0
"cos",2,0
"cost",18,11
"costum",1,0
"cot",3,0
"cotyius",1,0
"couch",11,10
"couldst",3,0
"council",63,13
"counsel",69,27
"counsellor",1,3
"count",4,7
"counterfeit",1,0
"counterpois",1,0
"countless",2,2
"countri",84,117
"countrymen",3,2
"courag",41,11
"cours",81,34
"courser",116,0
"court",30,67
"cover",18,49
"coverd",15,0
"coverlet",1,4
"covert",4,1
"covet",1,0
"cow",1,10
"coward",12,4
"cowardcounsel",1,0
"cowardic",1,0
"cower",1,1
"cowper",2,0
"crack",2,0
"crackd",1,0
"crackl",15,0
"crag",1,1
"craggi",4,0
"crana",2,0
"cranaus",1,0
"crane",6,0
"cranni",1,0
"crapathus",1,0
"crash",3,0
"crashd",3,0
"cratylus",1,0
"crave",2,2
"crayon",1,0
"cream",1,0
"creat",12,6
"creation",4,1
"creatur",2,17
"credibl",1,0
"credit",4,5
"credul",3,0
"creep",5,0
"creiontian",1,0
"creon",2,1
"crescent",1,0
"crest",19,3
"creta",2,0
"cretan",20,5
"crete",13,12
"crethon",1,0
"crew",22,47
"cri",107,64
"crime",17,3
"crimson",5,2
"crisi",1,0
"cristiani",1,0
"crithei",3,0
"critic",34,1
"crocus",2,0
"crocylia",1,0
"croesmus",1,0
"croi",1,0
"cromna",1,0
"cronius",1,0
"crook",5,1
"crookback",1,0
"crop",3,1
"cropt",1,0
"cross",9,20
"crossd",4,0
"crowd",54,10
"crown",33,4
"crownd",64,0
"cruel",10,17
"cruelti",1,0
"crumbl",2,0
"crush",5,2
"crushd",8,0
"crux",1,0
"cryd",1,0
"crystal",9,0
"cteatus",1,0
"cubit",5,3
"cuff",1,0
"cuirass",6,0
"cuish",3,0
"cull",1,0
"culmin",1,0
"cultiv",7,0
"cuma",4,0
"cuman",2,0
"cumbrous",4,0
"cumoea",1,0
"cun",1,20
"cup",8,32
"cur",1,2
"curb",5,1
"curbd",1,0
"curd",1,0
"cure",4,1
"cureless",1,0
"curet",1,0
"curetian",1,0
"curios",2,1
"curious",7,3
"curl",16,2
"curld",5,0
"current",6,7
"currier",1,0
"curs",27,0
"curv",1,1
"curvatur",1,0
"custom",9,2
"customari",2,1
"cut",22,47
"cutlass",2,0
"cybel",1,0
"cycl",1,0
"cyclic",1,0
"cyclus",1,0
"cycnus",1,0
"cyllen",1,1
"cymindi",1,0
"cymodoc",1,0
"cymotho",1,0
"cynic",1,0
"cyno",1,0
"cynthia",2,0
"cyparissus",1,0
"cyphus",1,0
"cypress",1,1
"cypria",1,1
"cypriad",1,0
"cyprian",5,0
"cytheraea",1,0
"cytorus",1,0
"dacier",1,0
"daedalean",1,0
"daetor",1,0
"dagger",1,0
"daili",9,3
"dainti",2,1
"daitumon",1,0
"dale",2,0
"damag",7,12
"damasus",1,0
"dambois",1,0
"dame",60,0
"damp",1,1
"damsel",1,1
"dan",2,0
"dana",1,0
"danc",17,19
"dancer",2,5
"danger",52,12
"dangl",1,1
"danni",1,0
"dant",3,0
"dappl",1,0
"dardan",27,0
"dardania",1,0
"dardanian",1,0
"dardanus",5,0
"dare",119,12
"darest",5,0
"dark",61,49
"darken",9,0
"darkend",3,0
"darker",1,0
"darknesslord",1,0
"darksom",2,0
"darl",3,3
"darst",4,0
"dart",140,5
"dash",1,7
"dashd",8,0
"dastard",8,0
"data",1,1
"date",22,5
"daughter",57,101
"dauli",1,0
"daunt",1,0
"dauntless",19,0
"daunus",1,0
"dawn",17,31
"day",341,193
"dazzl",9,1
"dead",183,82
"deadend",1,0
"deaf",4,0
"deafen",2,1
"deal",9,23
"dealt",4,6
"dear",36,61
"dearer",6,1
"dearest",11,1
"death",203,69
"deathless",7,0
"debat",37,0
"debil",1,0
"debt",2,2
"decad",1,0
"decay",5,0
"decayd",3,0
"deceas",2,0
"deceit",3,1
"deceiv",10,8
"deceivd",1,0
"decent",12,1
"decept",2,0
"decid",13,4
"decis",2,1
"decisivewhil",1,0
"deck",12,6
"deckd",3,0
"declar",26,7
"declin",10,0
"decliv",2,0
"decor",3,5
"decre",51,4
"decursio",1,0
"dedic",2,1
"deduct",1,1
"deed",54,21
"deedless",3,0
"deem",10,13
"deemd",4,0
"deep",129,23
"deepdiscern",1,0
"deepen",2,0
"deeper",6,0
"deepest",1,0
"deepgrown",1,0
"deepli",5,1
"deeproot",1,0
"deer",5,4
"defac",4,0
"defam",2,0
"defeat",4,0
"defect",14,7
"defenc",19,4
"defend",48,2
"defendst",1,0
"defens",3,0
"defer",4,1
"deferrd",1,0
"defi",20,1
"defianc",3,0
"defil",2,1
"definit",1,0
"deform",6,0
"deformd",5,0
"defraud",9,0
"degener",6,0
"degeneraci",1,0
"degrad",1,0
"degre",13,0
"deicoon",1,0
"deignd",1,0
"deiochus",1,0
"deiopeia",1,0
"deiopi",1,0
"deiphobus",19,2
"deipylus",1,0
"deipyrus",4,0
"deiti",20,1
"deject",4,0
"del",2,1
"delay",11,4
"delayd",1,0
"deleeinotero",1,0
"deleg",3,0
"delet",1,1
"delian",1,0
"deliber",3,1
"delic",2,3
"delicaci",3,0
"delici",1,3
"delight",27,14
"deliv",2,4
"deliver",2,0
"deliverd",1,0
"deliveri",3,0
"dell",1,3
"delo",1,1
"delphi",1,0
"delto",1,0
"delud",6,0
"delug",15,0
"demand",59,1
"demigod",1,0
"democoon",1,0
"demodocus",1,14
"demodokus",1,0
"demoleon",1,0
"demon",1,0
"demuchus",1,0
"den",9,1
"deni",35,1
"denial",3,0
"denot",1,0
"denounc",4,0
"dens",1,2
"deo",2,0
"depart",10,9
"departur",5,0
"depend",12,2
"depict",1,0
"depictur",1,0
"deplor",16,0
"depopul",2,0
"deport",1,0
"deprec",1,0
"depressd",4,0
"depriv",10,2
"depth",6,2
"deput",3,0
"derid",3,0
"deris",1,0
"deriv",19,6
"derivst",1,0
"derog",1,0
"derogatori",1,0
"descend",130,7
"descent",6,2
"descri",11,0
"describ",28,8
"descript",24,0
"desert",40,3
"deserv",24,2
"deservst",2,0
"design",39,1
"designd",13,0
"desir",38,18
"desist",8,0
"desol",5,1
"despair",24,6
"despatch",5,1
"despatchd",9,0
"desper",7,1
"despis",3,0
"despit",4,2
"despoil",8,0
"despoild",1,0
"despot",1,0
"destin",28,0
"destind",1,0
"destini",6,1
"destitut",1,0
"destrier",1,0
"destroy",36,5
"destroyd",4,0
"destruct",35,18
"detach",1,1
"detail",10,1
"detain",22,6
"detaind",4,0
"detect",3,0
"deter",2,0
"determin",17,8
"detest",6,4
"dethron",1,0
"detract",2,0
"deucalion",3,2
"develop",6,2
"deviat",2,0
"devic",2,3
"devious",1,0
"devolv",2,0
"devot",9,2
"devoted",1,0
"devour",13,7
"devout",1,0
"dew",15,1
"dewi",3,0
"dexamen",1,0
"dexter",7,0
"dia",1,1
"diadem",1,1
"diaegaemasi",1,0
"dialect",4,0
"dian",2,0
"diana",10,14
"dictat",7,0
"diction",6,0
"dictionari",1,1
"dido",4,0
"didst",4,0
"die",132,41
"dier",1,0
"diestlet",1,0
"diet",1,0
"differ",41,14
"difficult",5,2
"difficulti",13,15
"diffus",2,0
"digamma",2,0
"dignifi",1,0
"digniti",8,0
"dilig",6,0
"dim",7,1
"diminishd",1,0
"dimmd",1,0
"din",2,0
"dine",2,8
"dinner",1,49
"dio",1,0
"diocleus",2,0
"diodorus",1,0
"diogen",2,0
"diom",48,2
"diomed",4,0
"dion",2,0
"dioni",1,0
"dionysius",1,0
"dionysus",1,0
"dior",2,0
"dip",1,1
"diphthera",1,0
"diphthong",1,0
"dippd",1,0
"dire",66,1
"direct",43,22
"director",1,1
"dirt",2,3
"disabl",5,0
"disagre",3,0
"disappear",1,3
"disappoint",5,0
"disapprov",1,0
"disarm",1,0
"disarmd",4,0
"disarray",2,0
"disast",2,3
"discern",9,1
"discernd",1,0
"discharg",15,1
"disciplin",1,0
"disclaim",10,5
"disclos",3,0
"disconsol",2,0
"discont",3,0
"discontinu",1,1
"discord",14,0
"discourag",2,1
"discours",3,1
"discov",9,4
"discover",1,0
"discoveri",4,1
"discreet",1,1
"discrep",1,0
"discret",1,2
"discus",2,0
"discuss",5,2
"disdain",28,0
"disdaind",4,0
"diseas",5,0
"disembogu",1,0
"disengag",1,0
"disfigur",2,1
"disgorg",1,0
"disgrac",24,15
"disguis",7,10
"dishearten",1,0
"dishevelld",4,0
"dishonest",5,0
"dishonour",2,5
"dishonourd",8,0
"disjoint",2,0
"disk",4,1
"dislik",1,2
"dismal",4,0
"dismay",10,11
"dismayd",5,0
"dismemberd",1,0
"dismiss",12,1
"dismissd",6,0
"disobedi",1,0
"disobeyd",1,0
"disorderd",4,0
"dispel",3,0
"dispens",5,1
"dispers",13,4
"dispirit",1,0
"display",19,7
"displayd",17,0
"displeas",2,10
"displeasur",1,3
"dispos",22,11
"disposit",6,5
"disprov",1,0
"disput",6,2
"disqualif",1,0
"disquiet",1,0
"disrespect",1,3
"disrob",1,0
"dissatisfact",1,0
"dissect",1,0
"dissembl",2,0
"dissert",1,0
"dissolv",7,0
"dissuad",2,1
"distaind",7,0
"distanc",31,6
"distant",63,9
"distast",1,1
"distemperd",1,0
"distend",2,0
"distil",7,0
"distilld",5,0
"distinct",21,3
"distinguish",21,2
"distinguishd",8,0
"distort",1,0
"distract",14,0
"distress",20,24
"distressd",9,0
"distribut",26,23
"distributor",1,1
"disturb",5,5
"disturbd",1,0
"disunit",1,0
"ditch",5,0
"dius",1,0
"dive",2,5
"diver",2,0
"diverg",1,0
"divers",4,0
"diversifi",2,0
"divert",2,2
"divest",1,0
"divid",57,13
"divin",153,11
"divis",2,0
"dixa",1,0
"dizzi",1,0
"doctrin",1,0
"document",1,0
"dodona",2,2
"dodonaean",1,0
"dog",42,25
"dolci",1,0
"dole",1,0
"dolon",11,0
"dolop",5,0
"dolopia",1,0
"dolopian",1,0
"dolopion",1,0
"dolour",1,0
"dolphin",2,1
"domain",14,8
"dome",23,4
"domest",2,0
"dominion",6,0
"domitian",1,0
"donat",19,19
"done",41,80
"donn",1,0
"donor",1,2
"doom",34,11
"doomd",25,0
"door",10,67
"dori",2,0
"dorian",2,2
"doric",1,1
"dorion",1,0
"dorus",2,0
"doryclus",1,0
"dost",9,0
"dotard",1,0
"doth",2,0
"doto",1,1
"doubl",33,15
"doubleedg",1,0
"doubli",1,0
"doubt",44,23
"doubtless",1,5
"dove",10,5
"dower",3,1
"down",2,0
"downi",1,0
"download",1,1
"downward",4,0
"doxei",1,0
"dracius",1,0
"drag",15,9
"draggd",10,0
"dragon",3,1
"drain",3,1
"drama",2,0
"dramat",4,0
"dramati",1,0
"dramatis",1,0
"drank",7,10
"draught",8,1
"draw",49,31
"drawn",10,11
"dread",173,12
"dream",24,19
"dreamd",1,0
"dreampop",1,0
"dreamt",1,0
"drear",2,0
"dreari",8,0
"dreg",3,0
"drench",4,1
"drenchd",5,0
"dress",2,22
"dressd",11,0
"dresus",1,0
"drew",65,43
"dri",19,12
"drift",3,6
"drink",14,86
"drip",1,1
"drive",55,34
"driven",28,11
"driver",4,0
"droop",5,0
"droopd",1,0
"drop",40,19
"droppd",19,0
"drove",43,24
"drovest",1,0
"drown",6,6
"drownd",6,0
"drudg",1,0
"drunk",2,16
"drya",1,0
"dryad",1,0
"dryden",35,0
"dryop",1,0
"dschungariad",1,0
"dubious",1,2
"duci",2,0
"ductil",3,0
"due",39,28
"duel",3,0
"duke",1,0
"dul",1,0
"dulichium",1,10
"dull",4,1
"dumb",1,1
"dune",1,0
"dung",1,2
"dungeon",2,0
"dunqu",1,0
"duport",3,0
"durabl",1,0
"durat",1,0
"durst",11,0
"duski",15,1
"dust",107,10
"dusti",18,0
"duteous",1,0
"duti",12,8
"dwell",16,14
"dwelld",3,0
"dweller",1,1
"dwelt",4,1
"dyce",6,0
"dye",10,0
"dyma",1,0
"dynamen",1,0
"dynamet",1,0
"dyspari",1,0
"eager",23,6
"eagl",9,11
"ear",58,17
"earl",2,0
"earli",34,12
"earlier",9,6
"earliest",4,0
"earn",1,2
"earnest",2,3
"earring",3,1
"earth",138,29
"earthborn",2,0
"earthquak",5,2
"earthshak",3,0
"eas",26,7
"easi",21,9
"easier",1,1
"easili",5,11
"east",2,11
"eastern",3,1
"eat",1,93
"ebook",22,18
"echecleus",1,0
"echeclus",2,0
"echepolus",2,0
"echinad",1,0
"echius",2,0
"echo",24,4
"economi",1,0
"eddi",1,0
"edg",7,0
"edict",1,0
"edit",11,15
"editori",3,0
"edmund",1,0
"educ",5,1
"edward",2,0
"eel",2,0
"een",12,0
"eer",23,0
"eetion",1,0
"effac",1,0
"effect",14,5
"effemin",1,0
"effervesc",1,0
"efficaci",2,0
"effort",11,5
"effulg",2,0
"effus",5,0
"ego",1,0
"egypt",1,11
"egyptian",4,8
"eight",5,9
"eightandtwentieth",2,0
"eighteenth",1,3
"eighth",5,2
"eighti",1,0
"eightyf",1,0
"eightysix",1,0
"eiko",1,0
"ein",1,1
"einosiphyllo",2,0
"eioneus",2,0
"eiresion",1,0
"either",49,64
"eject",2,0
"elabor",3,0
"elaps",1,0
"elasus",1,0
"elat",6,0
"elatus",1,1
"elbow",3,2
"elder",10,1
"eldest",5,1
"elect",3,2
"electron",29,29
"electrum",1,0
"eleg",7,0
"elegiac",2,0
"element",2,0
"eleon",1,0
"elev",7,0
"eleven",1,4
"eleventh",2,0
"elgin",3,0
"eli",8,5
"elian",1,0
"elicit",1,0
"ellipsi",1,0
"elm",3,0
"elocut",2,0
"eloqu",11,0
"elphenor",2,0
"els",26,56
"elud",5,0
"eman",2,0
"emancip",1,0
"emathia",1,0
"emathian",1,0
"emautan",1,0
"embalm",1,0
"embalon",1,0
"embark",2,2
"embarkd",1,0
"embarrass",1,0
"embassi",6,1
"embattl",19,0
"embellish",4,2
"ember",2,4
"emblaz",5,0
"embodi",15,0
"emboldend",1,0
"embossd",4,0
"embost",1,0
"embow",1,0
"embrac",45,17
"embracesah",1,0
"embroiderd",6,0
"embroideri",2,1
"embrownd",1,0
"embru",3,0
"emend",2,3
"emerg",3,0
"emin",5,1
"emit",3,0
"emot",2,0
"emphat",4,0
"empi",1,0
"empir",16,0
"employ",78,1
"employd",5,0
"employe",3,3
"empress",11,0
"empti",20,4
"empyr",1,0
"emul",7,0
"enabl",6,2
"enact",2,0
"enamelld",1,0
"enamourd",4,0
"encamp",2,0
"encampd",1,0
"encas",1,0
"enchanc",1,0
"enchant",2,5
"enchas",1,0
"encircl",1,0
"enclos",4,7
"encod",1,0
"encompass",1,0
"encompassd",4,0
"encount",10,0
"encourag",16,9
"encumb",2,0
"encumberd",2,0
"encycl",1,0
"end",79,121
"endang",1,0
"endcoleridg",1,0
"endear",3,0
"endeavour",10,1
"endless",14,1
"endow",1,10
"endu",13,0
"endur",4,8
"enemi",13,12
"energi",1,0
"enfeebl",1,0
"enfold",1,0
"engag",74,3
"engin",1,0
"english",7,5
"englishfar",1,0
"engraft",1,0
"engross",1,0
"enhanc",3,0
"enian",1,0
"enigma",1,0
"eniopeus",1,0
"enisp",1,0
"enjoin",2,0
"enjoind",5,0
"enjoy",22,16
"enjoyd",5,0
"enlarg",5,2
"enlighten",2,1
"enlist",1,1
"enliven",1,0
"enmiti",1,1
"ennius",1,0
"ennobl",4,0
"ennomus",3,0
"enop",3,0
"enorm",19,3
"enough",13,67
"enoughwhen",1,0
"enrag",7,2
"enrich",3,3
"enrichd",5,0
"ensanguin",4,0
"enshrin",1,0
"ensign",5,0
"enslav",2,0
"ensu",6,0
"ensur",2,1
"entail",1,0
"entangl",1,0
"enter",27,13
"enterd",6,0
"enterpris",5,0
"entertain",9,11
"enteuthen",1,0
"enthron",1,1
"enthusiasm",3,0
"enthusiast",1,0
"entir",15,5
"entiti",3,3
"entrail",11,2
"entranc",9,10
"entreat",10,3
"entreati",2,0
"entrench",1,0
"entri",1,1
"enumer",4,1
"enunci",1,0
"envenomd",1,0
"envi",8,0
"envious",3,0
"environ",1,0
"envoy",1,0
"enwrap",2,0
"epa",1,0
"epaean",2,0
"epalt",1,0
"epean",1,3
"epeian",6,0
"epekrataes",1,0
"epeus",4,2
"ephialt",4,1
"ephyr",3,0
"ephyrian",1,0
"epi",1,0
"epic",15,1
"epicichlidia",1,0
"epicl",2,0
"epicsth",1,0
"epidaur",1,0
"epigeus",1,0
"epigoni",1,0
"epigram",1,0
"episch",1,0
"episod",9,3
"epistl",1,0
"epistor",1,0
"epistrophus",2,0
"epitaeoeimasi",1,0
"epitaph",1,0
"epithet",18,0
"epo",1,0
"epoch",1,0
"epoiei",1,0
"equal",81,3
"equalld",1,0
"equip",4,4
"equival",3,0
"equivoc",1,0
"eras",1,0
"ere",43,9
"erect",12,0
"erectheus",1,0
"eretria",1,0
"ereuthalion",3,0
"eri",1,0
"erichthonius",2,0
"ericthonius",1,0
"erinni",1,0
"err",1,0
"errd",5,0
"error",7,2
"eryalus",1,0
"eryma",2,0
"erythinus",1,0
"erythra",3,0
"escap",14,38
"esoter",1,0
"especi",12,9
"espi",3,1
"espous",3,0
"essay",4,0
"essayd",1,0
"essenti",5,0
"establish",1,3
"esteem",2,0
"esteemd",1,0
"estia",1,0
"estiator",1,0
"estim",3,1
"estionto",1,0
"etant",1,0
"eteon",1,0
"etern",63,1
"etext",2,0
"ether",44,0
"ethic",1,0
"ethiop",1,0
"ethiopia",1,1
"ethiopian",2,5
"etiquett",1,0
"etymolog",2,0
"euaemon",1,0
"euboea",1,2
"euboean",1,0
"euchenor",1,0
"eudorus",1,0
"eulog",1,0
"eum",1,0
"eumed",2,0
"eumelus",10,1
"eunaeus",3,0
"euodo",1,0
"euphemus",1,0
"euphet",1,0
"euphorbus",7,0
"eupoiiato",1,0
"eur",1,0
"euripid",2,0
"europ",1,0
"europa",1,0
"euryalus",3,6
"euryb",2,3
"eurydamus",1,0
"eurymedon",3,1
"eurymedusa",1,3
"eurynom",4,18
"eurypylus",12,1
"eurystheus",2,0
"eurytus",2,4
"eustathius",2,0
"eutresi",1,0
"euxin",1,0
"evad",1,0
"evaemon",1,0
"eve",2,0
"even",139,154
"event",18,1
"evenus",1,0
"ever",84,78
"everdear",1,0
"everdread",1,0
"everfertil",1,0
"everfruit",1,0
"everhonourd",2,0
"everi",173,116
"everlast",7,7
"everopen",1,0
"everpleas",3,0
"everwak",1,0
"everyth",10,47
"everywher",4,3
"evid",14,13
"evil",15,29
"evinc",1,1
"evippus",1,0
"evri",1,0
"ewe",2,10
"ewer",1,7
"exact",9,11
"exactitud",1,0
"exagger",2,1
"exalt",10,0
"examin",7,2
"exampl",26,1
"exceed",9,5
"excel",20,44
"excelld",5,0
"except",15,24
"excess",5,0
"exchang",4,2
"excit",13,0
"exclaim",3,16
"exclaimd",1,0
"exclus",2,1
"excurs",1,0
"excus",6,7
"execut",6,1
"exempt",7,2
"exercis",5,2
"exert",14,0
"exhal",4,0
"exhaust",3,3
"exhaustless",2,0
"exhauststil",1,0
"exhibit",3,0
"exhort",8,1
"exil",7,4
"exist",22,10
"exit",1,2
"exod",1,0
"exousin",1,0
"exp",1,0
"expand",5,0
"expans",5,0
"expati",3,0
"expect",32,22
"expedi",1,0
"expedit",4,1
"expel",3,0
"expelld",4,0
"expend",1,1
"expens",5,3
"experi",7,1
"experienc",9,0
"expert",2,0
"expiat",1,0
"expir",31,0
"explain",9,14
"explaind",1,0
"explan",6,3
"explic",1,0
"exploit",3,5
"explor",17,0
"exploresparadis",1,0
"export",2,1
"expos",7,0
"exposit",1,0
"express",31,2
"expressd",15,0
"expressli",1,2
"expung",1,0
"exquisit",3,5
"extant",1,0
"extemporan",1,0
"extend",66,0
"extens",6,1
"extent",11,2
"extern",1,0
"extinct",1,0
"extinguish",1,0
"extinguishd",2,0
"extirp",1,0
"extolld",2,0
"extract",4,0
"extraordinari",2,0
"extravag",2,1
"extrem",5,6
"extremest",2,0
"extric",1,0
"exuber",1,0
"exult",12,3
"eye",312,79
"eyebal",14,1
"eyebrow",2,3
"eyelid",2,4
"eyethat",1,0
"fab",2,0
"fabl",12,0
"fableif",1,0
"fabric",4,2
"faccia",1,0
"face",72,54
"facil",2,1
"fact",21,14
"faction",3,0
"factious",2,0
"faculti",5,0
"fade",3,1
"fadst",1,0
"fail",13,13
"faild",6,0
"fain",2,2
"faint",37,0
"fainter",2,0
"fair",159,57
"fairbank",1,1
"fairer",1,0
"fairest",6,0
"fairhair",1,1
"fairhaird",1,0
"fairi",1,0
"faith",35,6
"faithless",10,0
"falchion",30,0
"falcon",7,1
"fall",262,18
"fallaci",2,0
"fallatrid",1,0
"fallen",14,18
"falln",1,0
"fallow",1,3
"fals",12,4
"falsehood",4,2
"falter",2,0
"fama",1,0
"fame",168,4
"famili",5,18
"familiar",12,4
"famin",2,1
"famishd",1,0
"famous",3,10
"fan",4,0
"fanci",15,12
"fane",16,0
"far",159,89
"farbeam",4,0
"fardart",1,0
"fare",4,9
"farecho",1,0
"farewel",2,5
"farfam",3,1
"farfetch",1,0
"farm",1,11
"farseen",2,0
"farshoot",2,0
"farspread",1,0
"farther",4,1
"farthest",2,0
"fashiond",1,0
"fasqu",1,0
"fast",25,51
"fasten",4,9
"fastend",2,0
"faster",1,2
"fastfal",1,0
"fat",16,21
"fatal",57,0
"fate",301,14
"father",156,252
"fatigu",1,1
"fatten",1,2
"fattend",1,0
"fattest",1,0
"fault",19,6
"faultless",1,0
"favor",1,0
"favour",42,11
"favourd",13,0
"favourit",6,4
"fawn",5,7
"fear",163,49
"feard",16,0
"fearless",12,0
"feast",50,39
"feat",2,3
"feather",2,2
"featherd",8,0
"featur",12,2
"fecund",1,0
"fed",23,9
"feder",2,2
"fee",12,12
"feebl",20,4
"feebler",4,0
"feebli",1,0
"feed",13,16
"feel",60,11
"feelingth",1,0
"feet",53,58
"felic",1,0
"felix",1,0
"fell",112,69
"felld",5,0
"fellow",7,41
"fellowfeel",1,0
"fellowserv",1,0
"felt",33,7
"femal",13,2
"fen",2,0
"fenc",4,6
"fenni",1,0
"feroci",1,0
"feronia",1,0
"ferret",1,0
"fertil",6,4
"fervent",3,0
"fervid",1,0
"festiv",7,6
"fetch",2,27
"fetchd",1,0
"fetlock",1,0
"fetter",6,0
"feud",2,0
"feudal",1,0
"fever",1,0
"fewer",3,2
"fibr",3,1
"fiction",4,0
"fictiti",2,0
"field",341,18
"fieldmic",1,0
"fiend",4,0
"fier",1,0
"fierc",167,12
"fiercer",11,0
"fiercest",5,0
"fieri",33,0
"fieryhelmd",1,0
"fifteen",1,0
"fifteenth",1,0
"fifth",4,3
"fifti",23,7
"fig",2,8
"fight",287,57
"figtre",2,0
"figur",21,9
"file",10,4
"filenam",2,0
"filial",1,0
"fill",47,50
"filld",22,0
"fillet",1,0
"film",1,0
"filth",1,2
"final",3,1
"financi",1,1
"find",60,107
"fine",10,42
"finest",4,7
"finger",2,3
"fini",1,0
"finish",7,18
"finishd",5,0
"fior",1,0
"fir",5,0
"fire",209,59
"firm",21,6
"firmament",4,4
"firmest",1,0
"first",287,127
"firstborn",4,0
"firstl",4,0
"firstrat",1,0
"fish",7,14
"fisherman",1,1
"fishermen",1,2
"fit",31,29
"fiu",1,0
"fium",1,0
"five",11,9
"fix",21,7
"fixd",78,0
"flaccus",1,0
"flag",1,1
"flaggi",1,0
"flagiti",2,0
"flaki",1,0
"flame",161,4
"flami",1,0
"flank",8,0
"flash",18,2
"flashd",13,0
"flat",3,4
"flatter",5,4
"flatteri",2,1
"flavour",1,1
"flax",1,0
"flaxman",1,0
"flea",1,1
"fled",51,5
"fleec",7,10
"fleeci",11,0
"fleet",99,14
"fleetest",1,3
"flesh",6,10
"fleshwhen",1,0
"flew",81,26
"flexion",1,0
"fli",301,31
"flie",1,0
"fliest",1,0
"flight",96,2
"fling",3,4
"flinti",1,0
"flit",2,4
"float",22,3
"flock",26,22
"flockd",1,0
"flood",75,1
"floodgat",1,0
"floor",6,13
"florian",1,0
"flounc",2,0
"flounder",1,0
"flour",2,0
"flourish",5,0
"flourishd",3,0
"flow",72,5
"flowd",10,0
"flower",19,8
"floweret",2,0
"floweri",9,1
"fluctuat",1,1
"fluenci",3,0
"fluid",1,0
"flung",14,6
"flushd",2,0
"flute",1,0
"flutter",2,1
"fluttr",1,0
"flux",1,0
"foal",1,2
"foam",49,2
"foamd",1,0
"foami",3,0
"foe",232,5
"fold",19,9
"foliag",1,0
"folli",4,10
"follow",108,54
"followd",13,0
"followdramat",1,0
"fond",11,18
"fonder",2,0
"food",22,11
"fool",5,15
"foolish",2,7
"foot",41,29
"footnot",1,1
"footrac",1,0
"footstep",9,1
"footstool",3,10
"forag",2,0
"forbad",6,0
"forbear",24,0
"forbid",20,4
"forbidden",7,0
"forc",286,31
"forceth",1,0
"forcibl",2,0
"ford",2,0
"forebod",1,2
"foredoomd",3,0
"forefath",4,0
"forego",9,0
"forehead",7,3
"foreign",16,19
"foreknowledg",1,0
"foremost",26,12
"foreright",1,0
"forerun",1,0
"forerunn",1,0
"forese",1,0
"foreseen",3,0
"forest",29,11
"foretel",1,1
"forev",1,0
"forewarnd",3,0
"forfeit",8,0
"forg",7,1
"forgeri",1,0
"forget",15,15
